Line,Station,Average Weekday Boardings
Line 1 Yonge-University,Bloor-Yonge,156643
Line 1 Yonge-University,College,39137
Line 1 Yonge-University,Davisville,15903
Line 1 Yonge-University,Downsview Park,5618
Line 1 Yonge-University,Dundas,72406
Line 1 Yonge-University,Dupont,11084
Line 1 Yonge-University,Eglinton,60814
Line 1 Yonge-University,Eglinton West,13982
Line 1 Yonge-University,Finch,70775
Line 1 Yonge-University,Finch West,18345
Line 1 Yonge-University,Glencairn,5878
Line 1 Yonge-University,Highway 407,7649
Line 1 Yonge-University,King,35107
Line 1 Yonge-University,Lawrence,21197
Line 1 Yonge-University,Lawrence West,19742
Line 1 Yonge-University,Museum,9604
Line 1 Yonge-University,North York Centre,16699
Line 1 Yonge-University,Osgoode,19323
Line 1 Yonge-University,Pioneer Village,16570
Line 1 Yonge-University,Queen,36714
Line 1 Yonge-University,Queen's Park,34444
Line 1 Yonge-University,Rosedale,4875
Line 1 Yonge-University,Sheppard West,19495
Line 1 Yonge-University,Sheppard-Yonge,57501
Line 1 Yonge-University,Spadina,11479
Line 1 Yonge-University,St. Andrew,34576
Line 1 Yonge-University,St. Clair,27336
Line 1 Yonge-University,St. Clair West,21013
Line 1 Yonge-University,St. George,101128
Line 1 Yonge-University,St. Patrick,23989
Line 1 Yonge-University,Summerhill,5045
Line 1 Yonge-University,Union,136515
Line 1 Yonge-University,Vaughan Metropolitan Centre,20394
Line 1 Yonge-University,Wellesley,17705
Line 1 Yonge-University,Wilson,21579
Line 1 Yonge-University,York Mills,20498
Line 1 Yonge-University,York University,20447
Line 1 Yonge-University,Yorkdale,19725
Line 2 Bloor-Danforth,Bathurst,30598
Line 2 Bloor-Danforth,Bay,20980
Line 2 Bloor-Danforth,Bloor-Yonge,121531
Line 2 Bloor-Danforth,Broadview,11720
Line 2 Bloor-Danforth,Castle Frank,8943
Line 2 Bloor-Danforth,Chester,6197
Line 2 Bloor-Danforth,Christie,11407
Line 2 Bloor-Danforth,Coxwell,13450
Line 2 Bloor-Danforth,Donlands,6317
Line 2 Bloor-Danforth,Dufferin,26800
Line 2 Bloor-Danforth,Dundas West,23861
Line 2 Bloor-Danforth,Greenwood,9567
Line 2 Bloor-Danforth,High Park,9173
Line 2 Bloor-Danforth,Islington,25023
Line 2 Bloor-Danforth,Jane,14953
Line 2 Bloor-Danforth,Keele,16305
Line 2 Bloor-Danforth,Kennedy,42881
Line 2 Bloor-Danforth,Kipling,49392
Line 2 Bloor-Danforth,Lansdowne,17406
Line 2 Bloor-Danforth,Main Street,18682
Line 2 Bloor-Danforth,Old Mill,6109
Line 2 Bloor-Danforth,Ossington,22109
Line 2 Bloor-Danforth,Pape,34506
Line 2 Bloor-Danforth,Royal York,17337
Line 2 Bloor-Danforth,Runnymede,15838
Line 2 Bloor-Danforth,Sherbourne,24689
Line 2 Bloor-Danforth,Spadina,27601
Line 2 Bloor-Danforth,St. George,108866
Line 2 Bloor-Danforth,Victoria Park,32276
Line 2 Bloor-Danforth,Warden,21843
Line 2 Bloor-Danforth,Woodbine,10803
Line 4 Sheppard,Bayview,6205
Line 4 Sheppard,Bessarion,3180
Line 4 Sheppard,Don Mills,28709
Line 4 Sheppard,Leslie,3988
Line 4 Sheppard,Sheppard-Yonge,35327